member,costume,type
正源司陽子,12th制服(「日向坂で会いましょう」スタジオ),座り
正源司陽子,「3回目のひな誕祭」リメイクモザイク柄衣装,ヨリ
正源司陽子,「3回目のひな誕祭」リメイクモザイク柄衣装,チュウ
正源司陽子,「3回目のひな誕祭」リメイクモザイク柄衣装,ヒキ
正源司陽子,「3回目のひな誕祭」リメイクモザイク柄衣装,座り
正源司陽子,ねこみみコーデ,ヨリ
正源司陽子,ねこみみコーデ,チュウ
正源司陽子,ねこみみコーデ,ヒキ
正源司陽子,ねこみみコーデ,座り
正源司陽子,2025年 振袖,ヨリ
正源司陽子,2025年 振袖,チュウ
正源司陽子,2025年 振袖,ヒキ
正源司陽子,2025年 振袖,座り
正源司陽子,巫女,ヨリ
正源司陽子,巫女,チュウ
正源司陽子,巫女,ヒキ
正源司陽子,巫女,座り
正源司陽子,「ひなたフェス2024」花柄衣装,ヨリ
正源司陽子,「ひなたフェス2024」花柄衣装,チュウ
正源司陽子,「ひなたフェス2024」花柄衣装,ヒキ
正源司陽子,「ひなたフェス2024」花柄衣装,座り
正源司陽子,ホワイトコーデ,ヨリ
正源司陽子,ホワイトコーデ,チュウ
正源司陽子,ホワイトコーデ,ヒキ
正源司陽子,ホワイトコーデ,座り
正源司陽子,ミニ生写真「ひなたフェス2024」花柄衣装,ヨリ
正源司陽子,ミニ生写真「ひなたフェス2024」花柄衣装,チュウ
正源司陽子,ミニ生写真「ひなたフェス2024」花柄衣装,ヒキ
正源司陽子,ミニ生写真「ひなたフェス2024」花柄衣装,座り
正源司陽子,「Happy Magical Tour 2024」オープニング衣装,ヨリ
正源司陽子,「Happy Magical Tour 2024」オープニング衣装,チュウ
正源司陽子,「Happy Magical Tour 2024」オープニング衣装,ヒキ
正源司陽子,「Happy Magical Tour 2024」オープニング衣装,座り
正源司陽子,「卒業写真だけが知ってる」ジャケット写真衣装,ヨリ
正源司陽子,「卒業写真だけが知ってる」ジャケット写真衣装,チュウ
正源司陽子,「卒業写真だけが知ってる」ジャケット写真衣装,ヒキ
正源司陽子,「卒業写真だけが知ってる」ジャケット写真衣装,座り
正源司陽子,おうちコーデ,ヨリ
正源司陽子,おうちコーデ,チュウ
正源司陽子,おうちコーデ,ヒキ
正源司陽子,おうちコーデ,座り
正源司陽子,「2025年 カレンダー」スタイリング衣装,ヨリ
正源司陽子,「2025年 カレンダー」スタイリング衣装,チュウ
正源司陽子,「2025年 カレンダー」スタイリング衣装,ヒキ
正源司陽子,ニットベストコーデ,ヨリ
正源司陽子,ニットベストコーデ,チュウ
正源司陽子,ニットベストコーデ,ヒキ
正源司陽子,ニットベストコーデ,座り
正源司陽子,2025年 浴衣,ヨリ
正源司陽子,2025年 浴衣,チュウ
正源司陽子,2025年 浴衣,ヒキ
正源司陽子,2025年 浴衣,座り
正源司陽子,「ひなたフェス2024」オレンジ衣装,ヨリ
正源司陽子,「ひなたフェス2024」オレンジ衣装,チュウ
正源司陽子,「ひなたフェス2024」オレンジ衣装,ヒキ
正源司陽子,「ひなたフェス2024」オレンジ衣装,座り
正源司陽子,2024年 夏フェス衣装,ヨリ
正源司陽子,2024年 夏フェス衣装,チュウ
正源司陽子,2024年 夏フェス衣装,ヒキ
正源司陽子,2024年 夏フェス衣装,座り
正源司陽子,月と星が踊るMidnight,ヨリ
正源司陽子,月と星が踊るMidnight,チュウ
正源司陽子,月と星が踊るMidnight,ヒキ
正源司陽子,月と星が踊るMidnight,座り
正源司陽子,One choice,ヨリ
正源司陽子,One choice,チュウ
正源司陽子,One choice,ヒキ
正源司陽子,One choice,座り
正源司陽子,Am I ready?,ヨリ
正源司陽子,Am I ready?,チュウ
正源司陽子,Am I ready?,ヒキ
正源司陽子,Am I ready?,座り
正源司陽子,君はハニーデュー,ヨリ
正源司陽子,君はハニーデュー,チュウ
正源司陽子,君はハニーデュー,ヒキ
正源司陽子,君はハニーデュー,座り
正源司陽子,絶対的第六感,ヨリ
正源司陽子,絶対的第六感,チュウ
正源司陽子,絶対的第六感,ヒキ
正源司陽子,絶対的第六感,座り
正源司陽子,卒業写真だけが知ってる,ヨリ
正源司陽子,卒業写真だけが知ってる,チュウ
正源司陽子,卒業写真だけが知ってる,ヒキ
正源司陽子,卒業写真だけが知ってる,座り
正源司陽子,Love yourself!,ヨリ
正源司陽子,Love yourself!,チュウ
正源司陽子,Love yourself!,ヒキ
正源司陽子,Love yourself!,座り
